PERMNO,date,TICKER,PRC,RETX
29890,2008/08/13,BP,59.57000,-0.022962
29890,2008/08/14,BP,58.83000,-0.012422
29890,2008/08/15,BP,57.52000,-0.022268
29890,2008/08/18,BP,57.52000,0.000000
29890,2008/08/19,BP,57.44000,-0.001391
29890,2008/08/20,BP,57.45000,0.000174
29890,2008/08/21,BP,58.40000,0.016536
29890,2008/08/22,BP,57.14000,-0.021575
29890,2008/08/25,BP,56.80000,-0.005950
29890,2008/08/26,BP,56.90000,0.001761
29890,2008/08/27,BP,58.18000,0.022496
29890,2008/08/28,BP,57.63000,-0.009453
29890,2008/08/29,BP,57.63000,0.000000
29890,2008/09/02,BP,54.01000,-0.062815
29890,2008/09/03,BP,54.44000,0.007961
29890,2008/09/04,BP,54.26000,-0.003306
29890,2008/09/05,BP,54.03000,-0.004239
29890,2008/09/08,BP,54.39000,0.006663
29890,2008/09/09,BP,52.40000,-0.036588
29890,2008/09/10,BP,53.49000,0.020802
29890,2008/09/11,BP,53.42000,-0.001309
29890,2008/09/12,BP,54.79000,0.025646
29890,2008/09/15,BP,51.93000,-0.052199
29890,2008/09/16,BP,52.32000,0.007510
29890,2008/09/17,BP,51.41000,-0.017393
29890,2008/09/18,BP,51.46000,0.000973
29890,2008/09/19,BP,54.55000,0.060047
29890,2008/09/22,BP,55.16000,0.011182
29890,2008/09/23,BP,54.10000,-0.019217
29890,2008/09/24,BP,53.54000,-0.010351
29890,2008/09/25,BP,55.34000,0.033620
29890,2008/09/26,BP,54.55000,-0.014275
29890,2008/09/29,BP,49.14000,-0.099175
29890,2008/09/30,BP,50.17000,0.020960
29890,2008/10/01,BP,50.12000,-0.000997
29890,2008/10/02,BP,47.04000,-0.061452
29890,2008/10/03,BP,47.75000,0.015094
29890,2008/10/06,BP,45.65000,-0.043979
29890,2008/10/07,BP,44.42000,-0.026944
29890,2008/10/08,BP,44.70000,0.006304
29890,2008/10/09,BP,40.70000,-0.089485
29890,2008/10/10,BP,40.55000,-0.003686
29890,2008/10/13,BP,46.50000,0.146732
